,"Number of people dying of HIV-related causes","Number of people dying of HIV-related causes","Number of people dying of HIV-related causes","Number of people dying of HIV-related causes","Number of people dying of HIV-related causes","Number of people dying of HIV-related causes","Number of people dying of HIV-related causes","Number of people dying of HIV-related causes","Number of people dying of HIV-related causes","Number of people dying of HIV-related causes","Number of people dying of HIV-related causes","Number of people dying of HIV-related causes","Number of people dying of HIV-related causes","Number of people dying of HIV-related causes","Number of people dying of HIV-related causes","Number of people dying of HIV-related causes","Number of people dying of HIV-related causes","Number of people dying of HIV-related causes","Number of people dying of HIV-related causes","Number of people dying of HIV-related causes","Number of people dying of HIV-related causes","Number of people dying of HIV-related causes","Number of people dying of HIV-related causes"
"Cyprus","No data","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]"
"Czechia","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]"
"Democratic People's Republic of Korea","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data"
"Democratic Republic of the Congo","12 000 [8900–16 000]","14 000 [10 000–19 000]","19 000 [13 000–25 000]","20 000 [14 000–26 000]","20 000 [14 000–26 000]","22 000 [17 000–28 000]","27 000 [20 000–33 000]","32 000 [25 000–38 000]","35 000 [28 000–42 000]","37 000 [29 000–44 000]","40 000 [32 000–47 000]","42 000 [34 000–49 000]","43 000 [35 000–50 000]","46 000 [37 000–53 000]","47 000 [38 000–54 000]","48 000 [39 000–55 000]","49 000 [41 000–57 000]","51 000 [43 000–60 000]","53 000 [44 000–62 000]","54 000 [45 000–62 000]","53 000 [45 000–62 000]","52 000 [44 000–61 000]","51 000 [43 000–60 000]"
"Denmark","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]"
"Djibouti","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data"
"Dominica","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data"
"Dominican Republic","1500 [1100–2100]","1900 [1300–2600]","2100 [1600–2900]","2300 [1700–3000]","2400 [1800–3200]","2500 [1900–3300]","2500 [1900–3300]","2500 [2000–3300]","2800 [2200–3600]","3000 [2400–3800]","3100 [2500–3900]","3200 [2600–4100]","3300 [2700–4200]","3600 [3000–4600]","4000 [3300–4900]","4600 [3900–5500]","5100 [4400–6200]","5600 [4800–6600]","5800 [5000–6800]","5700 [4900–6700]","5400 [4600–6300]","5100 [4300–5900]","4700 [3900–5500]"
"Ecuador","<500 [<500–560]","<500 [<500–560]","<500 [<500–560]","<500 [<500–620]","540 [<500–740]","650 [<500–870]","770 [570–1000]","940 [710–1200]","1100 [810–1400]","1000 [790–1400]","930 [690–1200]","900 [680–1200]","960 [740–1300]","1100 [830–1400]","1200 [970–1500]","1400 [1100–1700]","1400 [1100–1800]","1400 [1100–1700]","1400 [1100–1700]","1300 [990–1600]","1100 [870–1500]","980 [740–1300]","840 [610–1100]"
"Egypt","520 [<500–660]","<500 [<500–600]","<500 [<500–560]","<500 [<500–510]","<500 [<500–<500]","<500 [<500–<500]","<500 [<500–<500]","<500 [<500–<500]","<500 [<500–<500]","<500 [<500–<500]","<500 [<200–<500]","<200 [<200–<500]","<200 [<200–<500]","<200 [<200–<200]","<200 [<200–<200]","<200 [<100–<200]","<200 [<100–<200]","<200 [<100–<200]","<100 [<100–<200]","<100 [<100–<200]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]"
"El Salvador","<500 [<500–<500]","<500 [<500–510]","<500 [<500–530]","<500 [<500–610]","540 [<500–660]","<500 [<500–610]","<500 [<500–570]","<500 [<500–550]","<500 [<500–520]","<500 [<500–<500]","<500 [<500–<500]","<500 [<200–<500]","<500 [<500–<500]","<500 [<500–<500]","<500 [<500–<500]","<500 [<500–<500]","<500 [<500–530]","530 [<500–640]","660 [530–790]","730 [590–870]","730 [590–870]","700 [550–830]","630 [<500–750]"
"Equatorial Guinea","2800 [1800–4000]","2700 [1800–3900]","2700 [1900–3900]","2600 [1900–3600]","2500 [1800–3300]","2500 [1800–3300]","2500 [1900–3300]","2300 [1700–3100]","2200 [1600–2900]","2200 [1700–2900]","2300 [1800–3000]","2400 [1900–3000]","2300 [1800–2900]","2100 [1600–2700]","1800 [1400–2400]","1700 [1200–2300]","1600 [1200–2200]","1600 [1100–2100]","1500 [990–2000]","1300 [870–1900]","1200 [750–1700]","1000 [640–1600]","880 [540–1400]"
"Eritrea","<500 [<200–540]","<500 [<200–540]","<500 [<200–580]","<500 [<200–600]","<500 [<200–580]","<500 [<200–600]","<500 [<200–630]","<500 [<200–660]","<500 [<200–740]","<500 [<500–810]","540 [<500–890]","600 [<500–970]","660 [<500–1000]","750 [<500–1200]","870 [510–1300]","1100 [680–1500]","1400 [920–1900]","1600 [1100–2100]","1700 [1200–2200]","1600 [1100–2100]","1600 [1100–2100]","1500 [1000–2000]","1500 [990–2000]"
"Estonia","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]"
"Eswatini","2700 [2300–3200]","2700 [2300–3200]","3100 [2600–3700]","3100 [2700–3700]","2900 [2500–3500]","3200 [2800–3800]","3900 [3400–4500]","4200 [3700–4800]","4400 [3800–5100]","4500 [3800–5400]","4700 [4000–5800]","5100 [4400–6100]","6000 [5200–7000]","6900 [6000–8000]","7700 [6700–8800]","8300 [7300–9400]","9200 [8200–10 000]","10 000 [9300–12 000]","10 000 [9400–12 000]","10 000 [9000–11 000]","9300 [8300–11 000]","8500 [7500–9800]","7500 [6600–8700]"
"Ethiopia","11 000 [6900–20 000]","12 000 [7400–22 000]","13 000 [8100–24 000]","15 000 [8800–26 000]","15 000 [9200–27 000]","16 000 [9600–28 000]","16 000 [9900–29 000]","17 000 [10 000–30 000]","18 000 [11 000–31 000]","18 000 [11 000–31 000]","19 000 [12 000–34 000]","22 000 [14 000–40 000]","27 000 [16 000–47 000]","32 000 [19 000–57 000]","39 000 [23 000–69 000]","48 000 [29 000–85 000]","58 000 [35 000–100 000]","65 000 [40 000–120 000]","70 000 [42 000–120 000]","72 000 [43 000–130 000]","72 000 [43 000–130 000]","71 000 [43 000–130 000]","69 000 [42 000–120 000]"
"Fiji","<100 [<100–<200]","<100 [<100–<200]","<100 [<100–<200]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]"
"Finland","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data"
"France","880 [570–1200]","860 [560–1200]","750 [<500–1100]","700 [<500–1000]","650 [<500–940]","610 [<500–870]","590 [<500–840]","670 [<500–980]","740 [<500–1100]","720 [<500–1100]","690 [<500–1000]","660 [<500–950]","630 [<500–890]","600 [<500–830]","580 [<500–800]","560 [<500–760]","540 [<500–720]","530 [<500–690]","520 [<500–680]","520 [<500–680]","530 [<500–680]","590 [<500–750]","700 [520–880]"
"Gabon","1800 [1200–2700]","2000 [1300–2900]","1900 [1200–2900]","2000 [1300–2900]","2000 [1300–3000]","1900 [1300–2800]","1900 [1200–2700]","1800 [1200–2600]","1800 [1200–2600]","2000 [1400–2900]","2300 [1700–3300]","2500 [1800–3500]","2500 [1800–3500]","2500 [1800–3600]","2500 [1700–3600]","2500 [1600–3500]","2400 [1600–3500]","2500 [1700–3600]","2800 [1900–4000]","2900 [2000–4100]","2700 [1900–3900]","2500 [1700–3700]","2300 [1600–3400]"
"Gambia","1400 [890–1900]","1500 [930–2000]","1400 [930–2000]","1400 [920–1900]","1400 [930–2000]","1400 [930–1900]","1400 [940–2000]","1400 [960–2000]","1400 [950–1900]","1300 [890–1800]","1300 [870–1800]","1300 [940–1800]","1500 [1100–2000]","1500 [1200–2000]","1500 [1100–2000]","1400 [1100–1900]","1300 [1000–1800]","1300 [980–1700]","1200 [940–1600]","1100 [820–1400]","950 [720–1300]","830 [620–1100]","700 [520–970]"
"Georgia","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]"
"Germany","No data","<500 [<200–<500]","<500 [<200–<500]","<500 [<200–<500]","<500 [<200–<500]","<500 [<200–<500]","<500 [<200–<500]","<500 [<200–<500]","<500 [<200–<500]","<500 [<200–<500]","<500 [<200–<500]","<500 [<200–<500]","<500 [<500–<500]","<500 [<500–<500]","<500 [<500–<500]","<500 [<500–<500]","<500 [<500–<500]","<500 [<500–<500]","<500 [<500–<500]","<500 [<500–<500]","<500 [<500–<500]","<500 [<500–<500]","<500 [<500–<500]"
"Ghana","9400 [6800–13 000]","11 000 [8200–15 000]","14 000 [10 000–18 000]","16 000 [12 000–20 000]","16 000 [13 000–20 000]","17 000 [13 000–21 000]","16 000 [13 000–21 000]","17 000 [13 000–21 000]","17 000 [13 000–21 000]","16 000 [13 000–20 000]","16 000 [13 000–20 000]","18 000 [14 000–22 000]","20 000 [16 000–24 000]","21 000 [17 000–25 000]","22 000 [19 000–26 000]","24 000 [20 000–28 000]","25 000 [21 000–29 000]","25 000 [22 000–30 000]","25 000 [21 000–30 000]","25 000 [21 000–29 000]","24 000 [20 000–28 000]","23 000 [19 000–27 000]","21 000 [18 000–26 000]"
"Greece","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]"
"Grenada","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data"
"Guatemala","<500 [<500–610]","520 [<500–680]","540 [<500–730]","580 [<500–800]","680 [<500–950]","780 [510–1100]","800 [<500–1200]","740 [<500–1100]","660 [<500–1000]","650 [<500–1000]","710 [<500–1100]","720 [<500–1200]","730 [<500–1200]","740 [520–1200]","930 [680–1500]","1300 [880–2000]","1600 [1100–2500]","1800 [1200–2800]","1700 [1100–2700]","1900 [1300–3100]","2200 [1600–3500]","2100 [1500–3400]","2000 [1400–3300]"
"Guinea","3500 [2800–4700]","3900 [3100–5000]","4300 [3400–5400]","4900 [3900–6100]","5100 [4100–6300]","4900 [4000–6200]","5000 [4000–6200]","4800 [3800–5900]","4500 [3500–5600]","4100 [3200–5300]","4100 [3200–5300]","4100 [3200–5300]","4200 [3300–5500]","4800 [3800–6100]","5500 [4400–7000]","5600 [4600–7200]","5900 [4800–7400]","6300 [5200–7800]","6200 [5100–7800]","5900 [4700–7400]","5600 [4400–7200]","5400 [4100–7100]","5000 [3700–6700]"
"Guinea-Bissau","1200 [990–1500]","1400 [1100–1700]","1400 [1100–1800]","1500 [1200–1900]","1700 [1400–2100]","1700 [1400–2100]","1800 [1400–2200]","1900 [1600–2300]","2000 [1700–2500]","2100 [1800–2500]","2100 [1800–2600]","2300 [2000–2800]","2300 [2000–2800]","2400 [2000–2800]","2400 [2100–2900]","2500 [2200–3000]","2500 [2200–2900]","2400 [2100–2800]","2200 [1900–2600]","1900 [1700–2300]","1700 [1400–2100]","1500 [1200–1800]","1200 [1000–1500]"
"Guyana","<200 [<100–<200]","<200 [<100–<200]","<200 [<100–<200]","<200 [<100–<200]","<200 [<100–<200]","<200 [<100–<200]","<200 [<100–<200]","<200 [<100–<200]","<100 [<100–<200]","<100 [<100–<200]","<100 [<100–<200]","<100 [<100–<200]","<100 [<100–<200]","<100 [<100–<200]","<100 [<100–<200]","<100 [<100–<200]","<200 [<100–<200]","<200 [<200–<200]","<200 [<200–<500]","<500 [<200–<500]","<200 [<200–<500]","<200 [<200–<500]","<200 [<100–<500]"
"Haiti","1600 [1300–2100]","1700 [1400–2200]","2100 [1700–2600]","2700 [2200–3500]","3200 [2600–4100]","4300 [3700–5400]","5200 [4300–6500]","4900 [4200–6200]","5100 [4300–6400]","5400 [4600–6800]","6000 [5100–7400]","6600 [5600–8100]","6400 [5400–8000]","6500 [5400–8100]","7300 [6100–8800]","8000 [6800–9700]","9100 [7800–11 000]","10 000 [8600–12 000]","10 000 [8900–12 000]","11 000 [8900–13 000]","11 000 [8800–13 000]","10 000 [8800–13 000]","10 000 [8600–13 000]"
"Honduras","540 [<500–680]","630 [<500–790]","690 [540–870]","720 [570–900]","760 [600–940]","850 [700–1000]","950 [780–1100]","1000 [850–1200]","1100 [890–1300]","1200 [990–1400]","1300 [1100–1500]","1400 [1200–1600]","1400 [1200–1700]","1500 [1300–1800]","1700 [1400–2000]","1800 [1500–2100]","2000 [1700–2300]","2100 [1800–2600]","2300 [1900–2700]","2500 [2100–3100]","2700 [2300–3400]","2700 [2200–3300]","2500 [2100–3200]"
"Hungary","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data"
"Iceland","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]"
"India","40 000 [26 000–62 000]","0 [0–0]","0 [0–0]","0 [0–0]","0 [0–0]","0 [0–0]","0 [0–0]","0 [0–0]","0 [0–0]","0 [0–0]","0 [0–0]","0 [0–0]","0 [0–0]","0 [0–0]","0 [0–0]","0 [0–0]","0 [0–0]","0 [0–0]","0 [0–0]","0 [0–0]","0 [0–0]","0 [0–0]","0 [0–0]"
"Indonesia","26 000 [22 000–29 000]","27 000 [24 000–31 000]","27 000 [24 000–30 000]","27 000 [24 000–31 000]","28 000 [24 000–31 000]","27 000 [24 000–31 000]","27 000 [24 000–30 000]","26 000 [23 000–29 000]","25 000 [22 000–28 000]","23 000 [21 000–26 000]","21 000 [19 000–24 000]","19 000 [17 000–21 000]","16 000 [14 000–18 000]","14 000 [13 000–16 000]","12 000 [11 000–14 000]","10 000 [9000–11 000]","8600 [7700–9600]","7000 [6300–7900]","5300 [4700–6000]","3800 [3400–4300]","2700 [2400–3000]","1800 [1600–2000]","1200 [1100–1400]"
"Iran (Islamic Republic of)","2300 [1600–3600]","2400 [1600–3700]","2300 [1500–3500]","2300 [1600–3500]","2500 [1700–3700]","2700 [1800–3900]","3000 [2000–4200]","3100 [2200–4300]","3200 [2300–4400]","3300 [2400–4500]","3300 [2400–4500]","3200 [2300–4400]","3000 [2200–4200]","2800 [1900–4000]","2500 [1700–3700]","2200 [1500–3400]","1900 [1200–3100]","1600 [930–2700]","1300 [710–2400]","990 [520–2000]","770 [<500–1700]","590 [<500–1300]","<500 [<200–1100]"
"Iraq","<200 [<100–<200]","<200 [<100–<200]","<100 [<100–<200]","<100 [<100–<200]","<100 [<100–<200]","<100 [<100–<200]","<100 [<100–<200]","<100 [<100–<200]","<100 [<100–<200]","<100 [<100–<200]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]"
"Ireland","No data","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]"
"Israel","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data"
"Italy","550 [<500–690]","550 [<500–690]","550 [<500–700]","570 [<500–720]","580 [<500–740]","590 [<500–750]","580 [<500–740]","580 [<500–740]","610 [<500–770]","650 [<500–820]","660 [<500–830]","670 [500–840]","700 [530–880]","730 [560–910]","770 [580–970]","800 [610–1000]","850 [650–1000]","900 [680–1100]","940 [710–1200]","1000 [750–1200]","1100 [810–1300]","1200 [930–1500]","1300 [1000–1700]"
"Jamaica","1100 [820–1300]","1100 [800–1300]","870 [660–1100]","840 [670–990]","940 [710–1100]","930 [700–1100]","960 [720–1200]","970 [720–1200]","970 [740–1200]","1000 [790–1200]","1100 [840–1300]","1100 [840–1300]","1000 [810–1300]","1200 [940–1400]","1300 [1100–1500]","1500 [1300–1700]","1600 [1400–1800]","1800 [1700–2100]","2100 [1900–2300]","2100 [1900–2300]","2000 [1900–2300]","2000 [1800–2300]","1900 [1800–2200]"
"Japan","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data"
"Jordan","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]"
"Kazakhstan","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data"
"Kenya","18 000 [15 000–27 000]","21 000 [17 000–32 000]","21 000 [16 000–30 000]","20 000 [15 000–29 000]","20 000 [16 000–30 000]","24 000 [19 000–35 000]","27 000 [21 000–39 000]","32 000 [25 000–47 000]","36 000 [28 000–52 000]","38 000 [30 000–55 000]","40 000 [32 000–60 000]","45 000 [35 000–66 000]","51 000 [40 000–76 000]","61 000 [48 000–90 000]","73 000 [58 000–110 000]","85 000 [67 000–130 000]","100 000 [78 000–150 000]","110 000 [90 000–170 000]","120 000 [98 000–180 000]","130 000 [100 000–190 000]","130 000 [100 000–190 000]","120 000 [98 000–180 000]","120 000 [94 000–180 000]"
"Kiribati","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data"
"Kuwait","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]"
"Kyrgyzstan","<200 [<200–<200]","<200 [<200–<500]","<200 [<200–<500]","<200 [<200–<500]","<200 [<200–<200]","<200 [<200–<200]","<200 [<200–<200]","<200 [<200–<200]","<200 [<200–<200]","<200 [<200–<200]","<200 [<200–<200]","<200 [<200–<200]","<200 [<200–<200]","<200 [<100–<200]","<100 [<100–<200]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]"
